y2_statefips,y1_statefips,y1_state,y1_state_name,n1,n2,AGI
04,31,NE,Nebraska,588,1064,48635
04,30,MT,Montana,566,980,29657
04,46,SD,South Dakota,512,918,21883
04,38,ND,North Dakota,466,851,30818
04,56,WY,Wyoming,465,812,24813
04,09,CT,Connecticut,458,794,37599
04,45,SC,South Carolina,447,799,21284
04,21,KY,Kentucky,406,796,35431
04,05,AR,Arkansas,403,749,16036
04,22,LA,Louisiana,372,704,17848
04,01,AL,Alabama,341,643,16174
04,28,MS,Mississippi,276,536,9947
04,33,NH,New Hampshire,221,354,13786
04,23,ME,Maine,214,364,12827
04,54,WV,West Virginia,130,194,5801
04,50,VT,Vermont,124,200,6977
04,11,DC,District Of Columbia,117,156,10372
04,44,RI,Rhode Island,111,207,8660
04,10,DE,Delaware,109,190,3452
05,96,AR,AR Total Migration-US and Foreign,22230,44480,984892
05,97,AR,AR Total Migration-US,21897,43692,966386
05,98,AR,AR Total Migration-Foreign,333,788,18505
05,97,AR,AR Total Migration-Same State,32457,65470,1161833
05,05,AR,AR Non-migrants,954334,2145497,58280625
05,48,TX,Texas,4517,9001,192553
05,40,OK,Oklahoma,2101,4414,76994
05,29,MO,Missouri,2080,4151,74437
05,47,TN,Tennessee,1358,2690,60703
05,06,CA,California,1270,2480,50134
05,22,LA,Louisiana,1003,2036,45362
05,12,FL,Florida,965,1745,53278
05,17,IL,Illinois,756,1442,38929
05,28,MS,Mississippi,732,1518,27993
05,13,GA,Georgia,551,1152,24480
05,20,KS,Kansas,473,878,20396
05,08,CO,Colorado,368,731,16608
05,37,NC,North Carolina,365,748,15841
05,26,MI,Michigan,337,660,14807
05,57,FR,Foreign,333,788,18505
05,04,AZ,Arizona,326,661,13834
05,51,VA,Virginia,313,625,17127
05,36,NY,New York,299,564,15070
05,01,AL,Alabama,298,625,13851
05,39,OH,Ohio,295,562,19631
05,18,IN,Indiana,271,578,11031
05,55,WI,Wisconsin,238,476,10267
05,53,WA,Washington,226,438,9043
05,19,IA,Iowa,211,415,7347
05,21,KY,Kentucky,210,429,8139
05,42,PA,Pennsylvania,205,395,11838
05,27,MN,Minnesota,203,439,13594
05,45,SC,South Carolina,188,386,10265
05,32,NV,Nevada,169,353,6111
05,34,NJ,New Jersey,147,291,11201
05,41,OR,Oregon,141,255,4845
05,31,NE,Nebraska,126,269,6040
05,35,NM,New Mexico,124,244,6265
05,24,MD,Maryland,115,211,6234
05,25,MA,Massachusetts,114,186,6277
05,49,UT,Utah,104,258,6815
05,15,HI,Hawaii,97,209,3125
05,02,AK,Alaska,95,184,3952
05,38,ND,North Dakota,72,127,3984
05,56,WY,Wyoming,70,143,3197
05,46,SD,South Dakota,60,116,6700
05,09,CT,Connecticut,54,104,5793
05,54,WV,West Virginia,53,118,2542
05,16,ID,Idaho,49,101,1888
05,30,MT,Montana,42,84,1395
05,23,ME,Maine,27,58,1707
05,11,DC,District Of Columbia,27,33,2150
05,10,DE,Delaware,27,63,1146
05,33,NH,New Hampshire,25,46,1467
05,44,RI,Rhode Island,-1,-1,-1
05,50,VT,Vermont,-1,-1,-1
06,96,CA,CA Total Migration-US and Foreign,200999,344232,13587730
06,97,CA,CA Total Migration-US,190669,322677,12547137
06,98,CA,CA Total Migration-Foreign,10330,21555,1040593
06,97,CA,CA Total Migration-Same State,364319,676488,24921124
06,06,CA,CA Non-migrants,13658090,30666470,1154367010
06,48,TX,Texas,20523,38725,1246622
06,36,NY,New York,14595,20913,1498625
06,04,AZ,Arizona,12564,22988,651807
06,53,WA,Washington,11126,19789,778613
06,12,FL,Florida,10607,17150,694337
06,32,NV,Nevada,10534,19061,499590
06,57,FR,Foreign,10330,21555,1040593
06,17,IL,Illinois,8714,14073,730352
06,41,OR,Oregon,6605,10976,338634
06,08,CO,Colorado,6317,10684,446800
06,51,VA,Virginia,5918,10225,390970
06,25,MA,Massachusetts,5592,8004,504321
06,13,GA,Georgia,4964,8877,296325
